Timestamp,X,Y,Z
28-Jan-2025 19:52:34.409,-3.190316,2.959496,10.663824
28-Jan-2025 19:52:34.419,-3.632646,3.008145,12.116104
28-Jan-2025 19:52:34.429,-3.946393,3.154989,13.809832
28-Jan-2025 19:52:34.439,-3.713328,3.555406,13.905633
28-Jan-2025 19:52:34.449,-3.192411,3.863765,12.65693
28-Jan-2025 19:52:34.459,-2.519261,3.954776,11.402089
28-Jan-2025 19:52:34.469,-1.606759,4.03441,10.219099
28-Jan-2025 19:52:34.479,-0.840802,3.685785,9.344917
28-Jan-2025 19:52:34.489,-0.737217,2.65428,8.287965
28-Jan-2025 19:52:34.499,-1.206641,1.287622,6.676865
28-Jan-2025 19:52:34.509,-1.547332,0.780327,7.29478
28-Jan-2025 19:52:34.519,-1.191522,0.87508,8.549771
28-Jan-2025 19:52:34.529,-0.849184,0.89933,10.260713
28-Jan-2025 19:52:34.539,-0.891097,1.026416,11.092832
28-Jan-2025 19:52:34.549,-1.422492,1.107098,11.082504
28-Jan-2025 19:52:34.559,-1.573528,1.138682,10.539433
28-Jan-2025 19:52:34.569,-1.375041,1.100961,9.998458
28-Jan-2025 19:52:34.579,-1.137934,0.938698,8.879236
28-Jan-2025 19:52:34.588,-0.608784,0.663869,6.966064
28-Jan-2025 19:52:34.598,-0.327669,0.327519,5.4581
28-Jan-2025 19:52:34.608,-0.080682,-0.198338,1.839974
28-Jan-2025 19:52:34.618,-0.19729,-0.436343,3.627856
28-Jan-2025 19:52:34.628,-0.717458,-0.571062,10.830727
28-Jan-2025 19:52:34.638,-1.740281,-0.539328,22.434896
28-Jan-2025 19:52:34.648,-1.78893,-0.23067,25.039031
28-Jan-2025 19:52:34.658,-0.927771,-0.005988,16.135097
28-Jan-2025 19:52:34.668,-0.815654,-0.117356,9.42545
28-Jan-2025 19:52:34.678,-1.023721,-0.214055,7.133865
28-Jan-2025 19:52:34.688,-1.302442,-0.209415,7.524104
28-Jan-2025 19:52:34.698,-1.651067,-0.161963,10.06986
28-Jan-2025 19:52:34.708,-1.927542,-0.058977,12.432247
28-Jan-2025 19:52:34.718,-1.830394,0.271535,11.205698
28-Jan-2025 19:52:34.728,-1.335074,0.625849,8.058492
28-Jan-2025 19:52:34.737,-0.891247,0.787512,6.274801
28-Jan-2025 19:52:34.748,-0.66821,0.839305,6.135292
28-Jan-2025 19:52:34.758,-0.795596,0.800535,7.398964
28-Jan-2025 19:52:34.768,-1.025667,0.719254,9.516311
28-Jan-2025 19:52:34.778,-1.147514,0.609832,11.46421
28-Jan-2025 19:52:34.788,-1.041983,0.433798,12.306958
28-Jan-2025 19:52:34.798,-0.840352,0.17798,11.83933
28-Jan-2025 19:52:34.808,-0.67345,-0.061372,10.887459
28-Jan-2025 19:52:34.818,-0.586929,-0.220491,10.154583
28-Jan-2025 19:52:34.828,-0.595611,-0.245789,9.572743
28-Jan-2025 19:52:34.838,-0.63498,-0.161814,9.13655
28-Jan-2025 19:52:34.848,-0.716859,-0.074844,8.97818
28-Jan-2025 19:52:34.858,-0.892594,-0.056133,9.19448
28-Jan-2025 19:52:34.868,-1.110092,-0.161065,9.756112
28-Jan-2025 19:52:34.877,-1.215323,-0.303868,10.463691
28-Jan-2025 19:52:34.887,-1.219664,-0.424368,10.886112
28-Jan-2025 19:52:34.897,-1.033152,-0.536335,10.811567
28-Jan-2025 19:52:34.907,-0.759221,-0.563129,10.267598
28-Jan-2025 19:52:34.917,-0.513732,-0.520318,9.569301
28-Jan-2025 19:52:34.927,-0.392035,-0.398322,8.98267
28-Jan-2025 19:52:34.937,-0.340991,-0.264799,8.464149
